track,2014,2015,2016,2017,2018 Jan-Oct
K12,770.28,5584.57,2934.8,4907.8,10516.5
Language Learning,1658.375,3790.56,2260.7,3003.75,7218.85
Early Childhood Edu.,283.5,1121.44,1386.2,1938.4,4421.8
Vocational Edu.,1049,666.63,2253.77,1812.62,965.95
Enrichment Programs,108.9,597.81,546.2,1287,1855.4745
Paid Knowledge,143,355.35,345.6,942,2224.3
SaaS & Informatization,73.5,236,1106.7,840.8,842
STEM,54,99.21,180.32,549,1998.5
Higher Edu.,357.5,481.96,605.5,102,20
Study Abroad Services,74.1,395.32,258,334.44,447.1953
Others,212,234.21,5,143,451